method,logN,m,metric,count,median,mean,stddev,min,max,table,network_profile
SILENT_SVOLE,18,32,total_comm_bytes,5,130525960.0,130525960.0,0.0,130525960.0,130525960.0,network_runtime,WAN10
SILENT_SVOLE,18,8,total_wall_ms,5,6436.559,6466.1566,57.583306138497896,6434.801,6581.179999999999,network_runtime,WAN10
SILENT_SVOLE,18,8,total_comm_bytes,5,8389384.0,8389384.0,0.0,8389384.0,8389384.0,network_runtime,WAN10
SILENT_SVOLE,20,16,total_wall_ms,5,25001.739,24955.280600000002,82.39905325815427,24817.942,25035.969,network_runtime,WAN10
SILENT_SVOLE,20,16,total_comm_bytes,5,32880392.0,32880392.0,0.0,32880392.0,32880392.0,network_runtime,WAN10
SILENT_SVOLE,20,32,total_wall_ms,5,92063.886,92097.9608,456.3949801298895,91651.145,92922.90400000001,network_runtime,WAN10
SILENT_SVOLE,20,32,total_comm_bytes,5,130557704.0,130557704.0,0.0,130557704.0,130557704.0,network_runtime,WAN10
SILENT_SVOLE,20,8,total_wall_ms,5,7418.499,7427.7154,20.343921456789182,7403.436,7452.154,network_runtime,WAN10
SILENT_SVOLE,20,8,total_comm_bytes,5,8421128.0,8421128.0,0.0,8421128.0,8421128.0,network_runtime,WAN10
RM_VECTOR_GENERIC_SPLIT,14,16,total_wall_ms,5,1849.6919999999998,1844.668,14.47558072064819,1820.311,1859.6490000000001,network_runtime,WAN100
RM_VECTOR_GENERIC_SPLIT,14,16,total_comm_bytes,5,16941392.0,16941392.0,0.0,16941392.0,16941392.0,network_runtime,WAN100
RM_VECTOR_GENERIC_SPLIT,14,32,total_wall_ms,5,4976.464,4984.4698,32.4669288870999,4933.79,5020.684,network_runtime,WAN100
RM_VECTOR_GENERIC_SPLIT,14,32,total_comm_bytes,5,67373392.0,67373392.0,0.0,67373392.0,67373392.0,network_runtime,WAN100
RM_VECTOR_GENERIC_SPLIT,14,8,total_wall_ms,5,1006.459,1006.3485999999999,0.49490629416085175,1005.5289999999999,1006.977,network_runtime,WAN100
RM_VECTOR_GENERIC_SPLIT,14,8,total_comm_bytes,5,4308304.0,4308304.0,0.0,4308304.0,4308304.0,network_runtime,WAN100
RM_VECTOR_GENERIC_SPLIT,18,16,total_wall_ms,5,2028.8059999999998,2040.8193999999999,18.623418285588638,2026.0410000000002,2074.238,network_runtime,WAN100
RM_VECTOR_GENERIC_SPLIT,18,16,total_comm_bytes,5,16975184.0,16975184.0,0.0,16975184.0,16975184.0,network_runtime,WAN100
RM_VECTOR_GENERIC_SPLIT,18,32,total_wall_ms,5,5396.505999999999,5406.0188,20.26401714764395,5386.563,5442.154,network_runtime,WAN100
RM_VECTOR_GENERIC_SPLIT,18,32,total_comm_bytes,5,67407184.0,67407184.0,0.0,67407184.0,67407184.0,network_runtime,WAN100
RM_VECTOR_GENERIC_SPLIT,18,8,total_wall_ms,5,1041.8670000000002,1041.9292,1.0468632002320373,1040.721,1043.728,network_runtime,WAN100
RM_VECTOR_GENERIC_SPLIT,18,8,total_comm_bytes,5,4342096.0,4342096.0,0.0,4342096.0,4342096.0,network_runtime,WAN100
RM_VECTOR_GENERIC_SPLIT,20,16,total_wall_ms,5,2851.097,2850.992,1.6988819853067634,2848.11,2853.109,network_runtime,WAN100
RM_VECTOR_GENERIC_SPLIT,20,16,total_comm_bytes,5,16992080.0,16992080.0,0.0,16992080.0,16992080.0,network_runtime,WAN100
RM_VECTOR_GENERIC_SPLIT,20,32,total_wall_ms,5,7082.080999999999,7150.339,155.72068358056993,7040.495,7459.65,network_runtime,WAN100
RM_VECTOR_GENERIC_SPLIT,20,32,total_comm_bytes,5,67424080.0,67424080.0,0.0,67424080.0,67424080.0,network_runtime,WAN100
RM_VECTOR_GENERIC_SPLIT,20,8,total_wall_ms,5,1410.13,1410.2692,1.2638717339982997,1408.469,1411.822,network_runtime,WAN100
RM_VECTOR_GENERIC_SPLIT,20,8,total_comm_bytes,5,4358992.0,4358992.0,0.0,4358992.0,4358992.0,network_runtime,WAN100
RM_VECTOR_OPT,14,16,total_wall_ms,5,904.982,904.9642,0.22489499772119512,904.598,905.2280000000001,network_runtime,WAN100
RM_VECTOR_OPT,14,16,total_comm_bytes,5,2507360.0,2507360.0,0.0,2507360.0,2507360.0,network_runtime,WAN100
RM_VECTOR_OPT,14,32,total_wall_ms,5,989.13,988.7944,0.7801037366914978,987.251,989.359,network_runtime,WAN100
RM_VECTOR_OPT,14,32,total_comm_bytes,5,4571744.0,4571744.0,0.0,4571744.0,4571744.0,network_runtime,WAN100
RM_VECTOR_OPT,14,8,total_wall_ms,5,791.808,792.196,0.8882537925615404,791.5550000000001,793.944,network_runtime,WAN100
