network_profile,network_label,method,logN,m,metric,count,median,mean,stddev,min,max
WAN10,emulated TCP network,SILENT_SVOLE,18,8,total_wall_ms,5,6436.559,6466.1566,57.583306138497896,6434.801,6581.179999999999
WAN10,emulated TCP network,SILENT_SVOLE,18,8,total_comm_bytes,5,8389384.0,8389384.0,0.0,8389384.0,8389384.0
WAN10,emulated TCP network,SILENT_SVOLE,18,8,split_input_phase_wall_ms,5,0.0,0.0,0.0,0.0,0.0
WAN10,emulated TCP network,SILENT_SVOLE,20,16,total_wall_ms,5,25001.739,24955.280600000002,82.39905325815427,24817.942,25035.969
WAN10,emulated TCP network,SILENT_SVOLE,20,16,total_comm_bytes,5,32880392.0,32880392.0,0.0,32880392.0,32880392.0
WAN10,emulated TCP network,SILENT_SVOLE,20,16,split_input_phase_wall_ms,5,0.0,0.0,0.0,0.0,0.0
WAN10,emulated TCP network,SILENT_SVOLE,20,32,total_wall_ms,5,92063.886,92097.9608,456.3949801298895,91651.145,92922.90400000001
WAN10,emulated TCP network,SILENT_SVOLE,20,32,total_comm_bytes,5,130557704.0,130557704.0,0.0,130557704.0,130557704.0
WAN10,emulated TCP network,SILENT_SVOLE,20,32,split_input_phase_wall_ms,5,0.0,0.0,0.0,0.0,0.0
WAN10,emulated TCP network,SILENT_SVOLE,20,8,total_wall_ms,5,7418.499,7427.7154,20.343921456789182,7403.436,7452.154
WAN10,emulated TCP network,SILENT_SVOLE,20,8,total_comm_bytes,5,8421128.0,8421128.0,0.0,8421128.0,8421128.0
WAN10,emulated TCP network,SILENT_SVOLE,20,8,split_input_phase_wall_ms,5,0.0,0.0,0.0,0.0,0.0
WAN100,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,14,16,total_wall_ms,5,1849.6919999999998,1844.668,14.47558072064819,1820.311,1859.6490000000001
WAN100,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,14,16,total_comm_bytes,5,16941392.0,16941392.0,0.0,16941392.0,16941392.0
WAN100,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,14,16,split_input_phase_wall_ms,5,1584.2369999999999,1579.1671999999999,14.372397536945716,1554.9679999999998,1593.9840000000002
WAN100,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,14,32,total_wall_ms,5,4976.464,4984.4698,32.4669288870999,4933.79,5020.684
WAN100,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,14,32,total_comm_bytes,5,67373392.0,67373392.0,0.0,67373392.0,67373392.0
